Nom;Référence;Famille;Date semis;Prix unitaire (hors remise);Lien;Référence+lien
Aneth;A0010S;Aromatiques et médicinales;mai - juin;3;https://www.semaille.com/fr/annuelles/248-aneth-5415166000019.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Anis;A0011S;Aromatiques et médicinales;avril-juin;3;https://www.semaille.com/fr/annuelles/1529-anis-vert-5415166026552.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Basilic Citronnelle;A0020S;Aromatiques et médicinales;mars - juillet;3;https://www.semaille.com/fr/annuelles/249-basilic-citronnelle-5415166000057.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Basilic fin vert;A0021S;Aromatiques et médicinales;mars - juillet;3;https://www.semaille.com/fr/annuelles/1037-basilic-fin-vert-5415166000071.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Basilic Grand vert;A0022S;Aromatiques et médicinales;mars - juillet;3;https://www.semaille.com/fr/annuelles/250-basilic-grand-vert-5415166000095.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Basilic Pourpre;A0023S;Aromatiques et médicinales;mars - juillet;3;https://www.semaille.com/fr/annuelles/251-basilic-pourpre-5415166000118.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Basilic Thaï;A0024S;Aromatiques et médicinales;mars - juillet;3;https://www.semaille.com/fr/annuelles/252-basilic-thai-5415166013224.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Basilic cannelle;A0025S;Aromatiques et médicinales;mars - juillet;3;https://www.semaille.com/fr/annuelles/253-basilic-cannelle-5415166000132.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Basilic thym;A0027S;Aromatiques et médicinales;mars - juillet;3;https://www.semaille.com/fr/annuelles/1422-basilic-thym-5415166025708.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Basilic à feuilles de laitue;A0028S;Aromatiques et médicinales;mars - juillet;3;https://www.semaille.com/fr/annuelles/254-basilic-a-feuilles-de-laitue-5415166000156.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
